node_id	layer_id	op_id	name	op_type	inputs	outputs
N188	L188	conv_052	/model.22/m.0/cv1/cv1.0/conv/Conv	Conv	/model.22/Split_output_1:FLOAT:[1, 128, 20, 20] | model.22.m.0.cv1.0.conv.weight:FLOAT:[128, 1, 3, 3] | model.22.m.0.cv1.0.conv.bias:FLOAT:[128]	/model.22/m.0/cv1/cv1.0/conv/Conv_output_0:FLOAT:[1, 128, 20, 20]
N189	L189	sigmoid_045	/model.22/m.0/cv1/cv1.0/act/Sigmoid	Sigmoid	/model.22/m.0/cv1/cv1.0/conv/Conv_output_0:FLOAT:[1, 128, 20, 20]	/model.22/m.0/cv1/cv1.0/act/Sigmoid_output_0:FLOAT:[1, 128, 20, 20]
N190	L190	mul_046	/model.22/m.0/cv1/cv1.0/act/Mul	Mul	/model.22/m.0/cv1/cv1.0/conv/Conv_output_0:FLOAT:[1, 128, 20, 20] | /model.22/m.0/cv1/cv1.0/act/Sigmoid_output_0:FLOAT:[1, 128, 20, 20]	/model.22/m.0/cv1/cv1.0/act/Mul_output_0:FLOAT:[1, 128, 20, 20]
N191	L191	conv_053	/model.22/m.0/cv1/cv1.1/conv/Conv	Conv	/model.22/m.0/cv1/cv1.0/act/Mul_output_0:FLOAT:[1, 128, 20, 20] | model.22.m.0.cv1.1.conv.weight:FLOAT:[256, 128, 1, 1] | model.22.m.0.cv1.1.conv.bias:FLOAT:[256]	/model.22/m.0/cv1/cv1.1/conv/Conv_output_0:FLOAT:[1, 256, 20, 20]
N192	L192	sigmoid_046	/model.22/m.0/cv1/cv1.1/act/Sigmoid	Sigmoid	/model.22/m.0/cv1/cv1.1/conv/Conv_output_0:FLOAT:[1, 256, 20, 20]	/model.22/m.0/cv1/cv1.1/act/Sigmoid_output_0:FLOAT:[1, 256, 20, 20]
N193	L193	mul_047	/model.22/m.0/cv1/cv1.1/act/Mul	Mul	/model.22/m.0/cv1/cv1.1/conv/Conv_output_0:FLOAT:[1, 256, 20, 20] | /model.22/m.0/cv1/cv1.1/act/Sigmoid_output_0:FLOAT:[1, 256, 20, 20]	/model.22/m.0/cv1/cv1.1/act/Mul_output_0:FLOAT:[1, 256, 20, 20]
N194	L194	conv_054	/model.22/m.0/cv1/cv1.2/conv/Conv	Conv	/model.22/m.0/cv1/cv1.1/act/Mul_output_0:FLOAT:[1, 256, 20, 20] | model.22.m.0.cv1.2.conv.weight:FLOAT:[256, 1, 7, 7] | model.22.m.0.cv1.2.conv.bias:FLOAT:[256]	/model.22/m.0/cv1/cv1.2/conv/Conv_output_0:FLOAT:[1, 256, 20, 20]
N195	L195	sigmoid_047	/model.22/m.0/cv1/cv1.2/act/Sigmoid	Sigmoid	/model.22/m.0/cv1/cv1.2/conv/Conv_output_0:FLOAT:[1, 256, 20, 20]	/model.22/m.0/cv1/cv1.2/act/Sigmoid_output_0:FLOAT:[1, 256, 20, 20]
N196	L196	mul_048	/model.22/m.0/cv1/cv1.2/act/Mul	Mul	/model.22/m.0/cv1/cv1.2/conv/Conv_output_0:FLOAT:[1, 256, 20, 20] | /model.22/m.0/cv1/cv1.2/act/Sigmoid_output_0:FLOAT:[1, 256, 20, 20]	/model.22/m.0/cv1/cv1.2/act/Mul_output_0:FLOAT:[1, 256, 20, 20]
N197	L197	conv_055	/model.22/m.0/cv1/cv1.3/conv/Conv	Conv	/model.22/m.0/cv1/cv1.2/act/Mul_output_0:FLOAT:[1, 256, 20, 20] | model.22.m.0.cv1.3.conv.weight:FLOAT:[128, 256, 1, 1] | model.22.m.0.cv1.3.conv.bias:FLOAT:[128]	/model.22/m.0/cv1/cv1.3/conv/Conv_output_0:FLOAT:[1, 128, 20, 20]
N198	L198	sigmoid_048	/model.22/m.0/cv1/cv1.3/act/Sigmoid	Sigmoid	/model.22/m.0/cv1/cv1.3/conv/Conv_output_0:FLOAT:[1, 128, 20, 20]	/model.22/m.0/cv1/cv1.3/act/Sigmoid_output_0:FLOAT:[1, 128, 20, 20]
N199	L199	mul_049	/model.22/m.0/cv1/cv1.3/act/Mul	Mul	/model.22/m.0/cv1/cv1.3/conv/Conv_output_0:FLOAT:[1, 128, 20, 20] | /model.22/m.0/cv1/cv1.3/act/Sigmoid_output_0:FLOAT:[1, 128, 20, 20]	/model.22/m.0/cv1/cv1.3/act/Mul_output_0:FLOAT:[1, 128, 20, 20]
N200	L200	conv_056	/model.22/m.0/cv1/cv1.4/conv/Conv	Conv	/model.22/m.0/cv1/cv1.3/act/Mul_output_0:FLOAT:[1, 128, 20, 20] | model.22.m.0.cv1.4.conv.weight:FLOAT:[128, 1, 3, 3] | model.22.m.0.cv1.4.conv.bias:FLOAT:[128]	/model.22/m.0/cv1/cv1.4/conv/Conv_output_0:FLOAT:[1, 128, 20, 20]
N201	L201	sigmoid_049	/model.22/m.0/cv1/cv1.4/act/Sigmoid	Sigmoid	/model.22/m.0/cv1/cv1.4/conv/Conv_output_0:FLOAT:[1, 128, 20, 20]	/model.22/m.0/cv1/cv1.4/act/Sigmoid_output_0:FLOAT:[1, 128, 20, 20]
N202	L202	mul_050	/model.22/m.0/cv1/cv1.4/act/Mul	Mul	/model.22/m.0/cv1/cv1.4/conv/Conv_output_0:FLOAT:[1, 128, 20, 20] | /model.22/m.0/cv1/cv1.4/act/Sigmoid_output_0:FLOAT:[1, 128, 20, 20]	/model.22/m.0/cv1/cv1.4/act/Mul_output_0:FLOAT:[1, 128, 20, 20]
N203	L203	add_009	/model.22/m.0/Add	Add	/model.22/Split_output_1:FLOAT:[1, 128, 20, 20] | /model.22/m.0/cv1/cv1.4/act/Mul_output_0:FLOAT:[1, 128, 20, 20]	/model.22/m.0/Add_output_0:FLOAT:[1, 128, 20, 20]
N204	L204	concat_013	/model.22/Concat	Concat	/model.22/Split_output_0:FLOAT:[1, 128, 20, 20] | /model.22/Split_output_1:FLOAT:[1, 128, 20, 20] | /model.22/m.0/Add_output_0:FLOAT:[1, 128, 20, 20]	/model.22/Concat_output_0:FLOAT:[1, 384, 20, 20]
N205	L205	conv_057	/model.22/cv2/conv/Conv	Conv	/model.22/Concat_output_0:FLOAT:[1, 384, 20, 20] | model.22.cv2.conv.weight:FLOAT:[256, 384, 1, 1] | model.22.cv2.conv.bias:FLOAT:[256]	/model.22/cv2/conv/Conv_output_0:FLOAT:[1, 256, 20, 20]
N206	L206	sigmoid_050	/model.22/cv2/act/Sigmoid	Sigmoid	/model.22/cv2/conv/Conv_output_0:FLOAT:[1, 256, 20, 20]	/model.22/cv2/act/Sigmoid_output_0:FLOAT:[1, 256, 20, 20]
N207	L207	mul_051	/model.22/cv2/act/Mul	Mul	/model.22/cv2/conv/Conv_output_0:FLOAT:[1, 256, 20, 20] | /model.22/cv2/act/Sigmoid_output_0:FLOAT:[1, 256, 20, 20]	/model.22/cv2/act/Mul_output_0:FLOAT:[1, 256, 20, 20]
N208	L208	conv_058	/model.23/one2one_cv2.0/one2one_cv2.0.0/conv/Conv	Conv	/model.16/cv2/act/Mul_output_0:FLOAT:[1, 64, 80, 80] | model.23.one2one_cv2.0.0.conv.weight:FLOAT:[64, 64, 3, 3] | model.23.one2one_cv2.0.0.conv.bias:FLOAT:[64]	/model.23/one2one_cv2.0/one2one_cv2.0.0/conv/Conv_output_0:FLOAT:[1, 64, 80, 80]
